chinese,frequency,pinyin,posseg
分飾,3,fen1-shi4,v
法蘭西島,4,fa3-lan2-xi1-dao3,ns
防意如城,3,fang2-yi4-ru2-cheng2,l
否定詞,3,fou3-ding4-ci2,i
風味,3024,feng1-wei4,n
服毒自盡,3,fu2-du2-zi4-jin3,i
范曉萱,3,fan4-xiao3-xuan1,n
返程票,3,fan3-cheng2-piao4,n
複合機,3,fu4-he2-ji1,n
封固,3,feng1-gu4,a
分家,110,fen1-jia1,n
反衝力,3,fan3-chong1-li4,n
發射機,77,fa1-she4-ji1,n
反攻倒算,23,fan3-gong1-dao3-suan4,i
發揚踔厲,2,fa1-yang2-chuo1-li4,nr
泛珠三角,3,fan4-zhu1-san1-jiao3,nz
氟化鉀,3,fu2-hua4-jia3,nz
方藥,33,fang1-yao4,n
凡應,3,fan2-ying1,d
符拉迪,3,fu2-la1-di2,nr
費因斯,3,fei4-yin1-si1,nr
飛湧,2,fei1-yong3,nz
福建籍,8,fu2-jian4-ji2,nr
傅良佐,3,fu4-liang2-zuo3,nr
風虎雲龍,3,feng1-hu3-yun2-long2,i
方家欄,2,fang1-jia1-lan2,nr
費拉杜,2,fei4-la1-du4,nr
浮記,3,fu2-ji4,n
風儀,6,feng1-yi2,n
飛奔而來,3,fei1-ben1-er2-lai2,i
防盾,16,fang2-dun4,n
富海,3,fu4-hai3,ns
方塊圖,3,fang1-kuai4-tu2,n
風采錄,3,feng1-cai3-lu4,n
放炮,80,fang4-pao4,n
費事,84,fei4-shi4,n
豐功碩德,3,feng1-gong1-shuo4-de2,nr
法學碩士,3,fa3-xue2-shuo4-shi4,nr
馮保回,4,feng2-bao3-hui2,nr
風水學,3,feng1-shui3-xue2,n
封來封去,3,feng1-lai2-feng1-qu4,l
孵育,7,fu1-yu4,vn
放縱不羈,3,fang4-zong4-bu4-ji1,l
芬芳馥郁,3,fen1-fang1-fu4-yu4,z
方外圓,6,fang1-wai4-yuan2,n
費力氣,4,fei4-li4-qi4,n
分釵劈鳳,3,fen1-chai1-pi1-feng4,nz
鋒不可當,3,feng1-bu4-ke3-dang1,i
肥短,3,fei2-duan3,a
訪問隊,3,fang3-wen4-dui4,n
範陽郡,8,fan4-yang2-jun4,nr
封猗盧,2,feng1-yi1-lu2,nr
糞坑,21,fen4-keng1,n
婦孺,261,fu4-ru2,n
婦聯總會,3,fu4-lian2-zong3-hui4,n
富麗華,3,fu4-li4-hua2,nr
佛山,264,fo2-shan1,ns
放映,230,fang4-ying4,v
反讀,3,fan3-du2,v
複核,66,fu4-he2,v
扶下,3,fu2-xia4,v
風起雲湧,72,feng1-qi3-yun2-yong3,i
福祿諾,5,fu2-lu4-nuo4,nr
番服,3,fan1-fu2,n
福安市,4,fu2-an1-shi4,ns
福禍,8,fu2-huo4,n
扶直,3,fu2-zhi2,v
膚受之愬,3,fu1-shou4-zhi1-su4,n
放射線,52,fang4-she4-xian4,n
