chinese,frequency,pinyin,posseg
石楠,7,shi2-nan2,nr
十年生聚,3,shi2-nian2-sheng1-ju4,i
試教,3,shi4-jiao4,n
山地氣候,3,shan1-di4-qi4-hou4,n
聖喜美,3,sheng4-xi3-mei3,ns
爽爽爽,3,shuang3-shuang3-shuang3,a
掃黃辦,2,sao3-huang2-ban4,n
社會工作者,12,she4-hui4-gong1-zuo4-zhe3,n
實施細則,3,shi2-shi1-xi4-ze2,n
嵩明縣,2,song1-ming2-xian4,ns
斯塔拉,4,si1-ta3-la1,nr
斯勃羅,4,si1-bo2-luo2,nr
水笙嚇,3,shui3-sheng1-xia4,nr
三維,236,san1-wei2,m
芟秋,3,shan1-qiu1,v
上勤下順,3,shang4-qin2-xia4-shun4,ns
深惡痛疾,3,shen1-e4-tong4-ji2,i
薩城邦,6,sa4-cheng2-bang1,nr
撒馬爾,3,sa1-ma3-er3,nrt
燒毛,3,shao1-mao2,n
奢靡浪費,3,she1-mi2-lang4-fei4,n
賒銷,11,she1-xiao1,v
申請號,3,shen1-qing3-hao4,nz
省直機關,3,sheng3-zhi2-ji1-guan1,n
四季海棠,3,si4-ji4-hai3-tang2,ns
十六枚,3,shi2-liu4-mei2,m
生髮水,3,sheng1-fa4-shui3,n
射穿,3,she4-chuan1,v
十七八,29,shi2-qi1-ba1,m
羧基,47,suo1-ji1,n
史妹妹,3,shi3-mei4-mei4,nr
森林浴,3,sen1-lin2-yu4,nr
上節,3,shang4-jie2,t
石刻像,3,shi2-ke4-xiang4,n
蛇紋巖,15,she2-wen2-yan2,n
壽命,1155,shou4-ming4,n
矢忠不二,3,shi3-zhong1-bu4-er4,i
孫顯祖,6,sun1-xian3-zu3,nr
聲震中外,3,sheng1-zhen4-zhong1-wai4,l
燒製,375,shao1-zhi4,v
始建,2355,shi3-jian4,v
始祖,216,shi3-zu3,nrt
庶人,144,shu4-ren2,n
繩其祖武,3,sheng2-qi2-zu3-wu3,i
色筆套,3,se4-bi3-tao4,n
沙僧牽,5,sha1-seng1-qian1,nr
遂溪,5,sui4-xi1,ns
三釐米,8,san1-li2-mi3,m
孫元良,20,sun1-yuan2-liang2,nr
山蒼子,10,shan1-cang1-zi,nr
廈門路,19,sha4-men2-lu4,ns
十五斤,5,shi2-wu3-jin1,m
隨後就來,3,sui2-hou4-jiu4-lai2,l
死傷者,11,si3-shang1-zhe3,n
雙層車,2,shuang1-ceng2-che1,n
輸入度,3,shu1-ru4-du4,n
三氧化鉬,7,san1-yang3-hua4-mu4,nz
速查表,3,su4-cha2-biao3,n
射給,3,she4-gei3,vn
傻子,543,sha3-zi,n
樹同拔異,3,shu4-tong2-ba2-yi4,i
綏寧,6,sui1-ning2,ns
神領意造,3,shen2-ling3-yi4-zao4,l
傷患,3,shang1-huan4,n
聖洛倫索,9,sheng4-luo4-lun2-suo3,ns
生端,3,sheng1-duan1,n
孫和鏢,2,sun1-he2-biao1,nr
射電源,3,she4-dian4-yuan2,n
擅用,3,shan4-yong4,v
世紀東方,3,shi4-ji4-dong1-fang1,n
十餘座,5,shi2-yu2-zuo4,m
似的,4637,shi4-de,u
深愛,3,shen1-ai4,a
隋紀,4,sui2-ji4,t
師尊,71,shi1-zun1,nr
施淡彩,5,shi1-dan4-cai3,nr
十朵花,3,shi2-duo3-hua1,n
僧服,3,seng1-fu2,n
數一數二,76,shu4-yi1-shu4-er4,m
三城,24,san1-cheng2,ns
賽德斯,2,sai4-de2-si1,nr
四十九年,11,si4-shi2-jiu3-nian2,m
蘇定方,8,su1-ding4-fang1,nr
燒酒,150,shao1-jiu3,v
三臺山,7,san1-tai2-shan1,ns
蝕刻,11,shi2-ke4,v
騷情賦骨,3,sao1-qing2-fu4-gu3,i
鎖匙,5,suo3-shi,n
收聽廣播,3,shou1-ting1-guang3-bo1,l
瘦瘦小小,3,shou4-shou4-xiao3-xiao3,z
神怪片,3,shen2-guai4-pian4,l
三兩重,3,san1-liang3-zhong4,m
三百六十斤,2,san1-bai3-liu4-shi2-jin1,m
十二海里,3,shi2-er4-hai3-li3,m
宋寶瑞,6,song4-bao3-rui4,nr
斯山,20,si1-shan1,ns
生擒,164,sheng1-qin2,v
歲,11719,sui4,m
史學工作者,5,shi3-xue2-gong1-zuo4-zhe3,n
