chinese,frequency,pinyin,posseg
猛扭,3,meng3-niu3,a
目不轉睛,240,mu4-bu4-zhuan3-jing1,i
毛褲,3,mao2-ku4,n
馬姆斯,4,ma3-mu3-si1,nr
明四夷,7,ming2-si4-yi2,nr
慕容復笑,11,mu4-rong2-fu4-xiao4,l
毛紡織廠,8,mao2-fang3-zhi1-chang3,n
汨羅,19,mi4-luo2,ns
馬榮成,3,ma3-rong2-cheng2,nrfg
邁著,3,mai4-zhe,v
門進宮,2,men2-jin4-gong1,nr
木桑道長,3,mu4-sang1-dao4-zhang3,nr
棉花團,3,mian2-hua1-tuan2,n
母系親屬,3,mu3-xi4-qin1-shu3,n
莫言,33,mo4-yan2,nr
魔鬼城,3,mo2-gui3-cheng2,n
馬世龍,7,ma3-shi4-long2,nr
美意盛情,3,mei3-yi4-sheng4-qing2,l
穆頓,2,mu4-dun4,nrt
毛委員,3,mao2-wei3-yuan2,n
沒那回事,3,mei2-na4-hui2-shi4,l
馬郎加,2,ma3-lang2-jia1,nr
馬放南山,3,ma3-fang4-nan2-shan1,ns
毛利,75,mao2-li4,nr
牟合方,2,mou2-he2-fang1,nr
美籍,134,mei3-ji2,n
沒羞,2,mei2-xiu1,v
鎷,471,ma3,zg
馬蹄疾,3,ma3-ti2-ji2,n
目視判讀,3,mu4-shi4-pan4-du2,n
麥飯,3,mai4-fan4,n
米提利,32,mi3-ti2-li4,nr
幕尼黑,3,mu4-ni2-hei1,ns
民用氣,3,min2-yong4-qi4,n
米特雷,3,mi3-te4-lei2,nr
芒果樹,8,mang2-guo3-shu4,n
慕吉克,3,mu4-ji2-ke4,nr
麻杏石,3,ma2-xing4-shi2,nr
毛根根,2,mao2-gen1-gen1,nr
美國紅十字會,2,mei3-guo2-hong2-shi2-zi4-hui4,nt
民間團體,3,min2-jian1-tuan2-ti3,n
麥木魯克,2,mai4-mu4-lu3-ke4,ns
麵杖,3,mian4-zhang4,n
買房人,7,mai3-fang2-ren2,n
莫特森,3,mo4-te4-sen1,nr
名言錄,3,ming2-yan2-lu4,n
名園,54,ming2-yuan2,n
民辦教育,3,min2-ban4-jiao4-yu4,l
馬鞍山市,23,ma3-an1-shan1-shi4,ns
幔子,3,man4-zi,n
母懿旨,2,mu3-yi4-zhi3,nr
彌天,3,mi2-tian1,nz
貓頭,3,mao1-tou2,n
沒得,3,mei2-de2,v
名泉,6,ming2-quan2,n
獴,15,meng3,zg
民和委,5,min2-he2-wei3,nt
每輛,3,mei3-liang4,n
民族風情,3,min2-zu2-feng1-qing2,n
睦鄰關係,3,mu4-lin2-guan1-xi4,l
馬克辛,3,ma3-ke4-xin1,nr
民用產品,3,min2-yong4-chan3-pin3,n
美因茨,33,mei3-yin1-ci2,ns
明叔驚,3,ming2-shu1-jing1,nr
梅港,3,mei2-gang3,ns
名鞿利鞚,3,ming2-ji1-li4-kong4,v
沒有止境,3,mei2-you3-zhi3-jing4,l
沒面子,3,mei2-mian4-zi,l
渺無蹤影,3,miao3-wu2-zong1-ying3,i
賣方,179,mai4-fang1,n
馬奶酒,18,ma3-nai3-jiu3,nr
蒙聖,3,meng2-sheng4,ns
袤,14,mao4,g
模擬訓練,3,mo2-ni3-xun4-lian4,n
盟敢,3,meng2-gan3,v
邁進,651,mai4-jin4,v
曼哈頓島,7,man4-ha1-dun4-dao3,ns
夢魂顛倒,3,meng4-hun2-dian1-dao4,i
煤氣罐,13,mei2-qi4-guan4,n
孟憲承,2,meng4-xian4-cheng2,nr
糜爛面,3,mi2-lan4-mian4,nr
沒勁兒,10,mei2-jin4-er2,d
迷離惝恍,3,mi2-li2-chang3-huang3,nr
模擬實驗,3,mo2-ni3-shi2-yan4,n
命世之才,3,ming4-shi4-zhi1-cai2,n
莫過於此,3,mo4-guo4-yu2-ci3,l
滿山遍野,25,man3-shan1-bian4-ye3,i
模板聚合,3,mu2-ban3-ju4-he2,n
美味源,2,mei3-wei4-yuan2,nz
磨片,3,mo2-pian4,n
麻州,3,ma2-zhou1,ns
摩門,6,mo2-men2,ns
梅花獎,19,mei2-hua1-jiang3,nz
米爾佛,3,mi3-er3-fu2,nr
麥克馬斯特,2,mai4-ke4-ma3-si1-te4,nrt
莫讓,19,mo4-rang4,nr
馬山,66,ma3-shan1,ns
馬上看花,3,ma3-shang4-kan4-hua1,i
煤質,33,mei2-zhi4,n
梅花詩,3,mei2-hua1-shi1,nr
慕師師,2,mu4-shi1-shi1,nr
明光甲,2,ming2-guang1-jia3,nr
莫悟奇,2,mo4-wu4-qi2,nr
面向未來,3,mian4-xiang4-wei4-lai2,l
目錄櫃,3,mu4-lu4-gui4,n
牧夫座,14,mu4-fu1-zuo4,nr
曼妮芬,3,man4-ni1-fen1,nr
美音,3,mei3-yin1,n
麻痺,295,ma2-bi4,v
美登木,5,mei3-deng1-mu4,nr
米爾維,3,mi3-er3-wei2,nr
莫拉維,5,mo4-la1-wei2,nr
美中,3,mei3-zhong1,ns
沒準兒,40,mei2-zhun3-er2,l
蒙遜,30,meng2-xun4,nz
馬來西亞,820,ma3-lai2-xi1-ya4,ns
茫然,691,mang2-ran2,z
閩省,3,min3-sheng3,ns
牧者,7,mu4-zhe3,n
末伏,3,mo4-fu2,t
馬爾法,2,ma3-er3-fa3,nr
忙忙碌碌,78,mang2-mang2-lu4-lu4,z
麥日蓋,2,mai4-ri4-gai4,nr
穆世妹,3,mu4-shi4-mei4,nr
木楔,6,mu4-xie1,n
靡衣媮食,3,mi3-yi1-tou1-shi2,n
美美,63,mei3-mei3,ns
馬前率子,3,ma3-qian2-lv4-zi,nr
馬紮羅,7,ma3-za1-luo2,nr
明顯增加,8,ming2-xian3-zeng1-jia1,nr
賣破綻,3,mai4-po4-zhan4,i
目量意營,3,mu4-liang4-yi4-ying2,n
米缸,15,mi3-gang1,nz
冥紙,5,ming2-zhi3,n
明治,141,ming2-zhi4,t
摸底,86,mo1-di3,n
明月當空,3,ming2-yue4-dang1-kong1,i
民族風格,3,min2-zu2-feng1-ge2,n
門類,683,men2-lei4,n
蒙旗,2,meng2-qi2,ns
滿室,2,man3-shi4,n
馬希爾,3,ma3-xi1-er3,nr
名言,223,ming2-yan2,n
馬數依,3,ma3-shu4-yi1,nr
馬坦巴,2,ma3-tan3-ba1,nr
毛髮絲粟,3,mao2-fa4-si1-su4,i
明水凝,29,ming2-shui3-ning2,nr
民有,3,min2-you3,b
明辨是非,21,ming2-bian4-shi4-fei1,i
摩天輪,5,mo2-tian1-lun2,nz
每筆,3,mei3-bi3,r
美克美,2,mei3-ke4-mei3,ns
暮虢朝虞,3,mu4-guo2-zhao1-yu2,ns
面孔,728,mian4-kong3,n
免疫調節,3,mian3-yi4-diao4-jie2,n
名額有限,3,ming2-e2-you3-xian4,n
美術館,292,mei3-shu4-guan3,nt
茅道臨,6,mao2-dao4-lin2,nr
民生報,3,min2-sheng1-bao4,n
米字旗,3,mi3-zi4-qi2,nr
昧,380,mei4,v
明為,3,ming2-wei4,v
梅西格,2,mei2-xi1-ge2,nr
毛翅目,5,mao2-chi4-mu4,nr
冒功,3,mao4-gong1,a
目標偵察,3,mu4-biao1-zhen1-cha2,n
苗疆中,3,miao2-jiang1-zhong1,ns
明傭,3,ming2-yong1,v
祕,1016,mi4,n
僈,10,man2,zg
名辯,3,ming2-bian4,v
沒用,463,mei2-yong4,v
蒙天恩,4,meng2-tian1-en1,nr
祕書長,5821,mi4-shu1-zhang3,n
冒險性,41,mao4-xian3-xing4,n
墨竹江卡,3,mo4-zhu2-jiang1-ka3,ns
密切相關,38,mi4-qie4-xiang1-guan1,l
梅梅正,2,mei2-mei2-zheng4,nr
蔓生植物,3,man4-sheng1-zhi2-wu4,l
綿亙,54,mian2-gen4,v
名犬,3,ming2-quan3,n
矇頭大睡,3,meng2-tou2-da4-shui4,l
木禪師,3,mu4-chan2-shi1,nr
麥秋,4,mai4-qiu1,nr
繆壽良,4,mou2-shou4-liang2,nr
盟書,3,meng2-shu1,n
麻溜兒,2,ma2-liu1-er2,nr
耄耋之年,8,mao4-die2-zhi1-nian2,i
默沙東,5,mo4-sha1-dong1,nr
