chinese,frequency,pinyin,posseg
中國幼教,3,zhong1-guo2-you4-jiao4,n
珠寶箱,3,zhu1-bao3-xiang1,nz
招軍,2,zhao1-jun1,nt
張立基,3,zhang1-li4-ji1,nr
準新郎,3,zhun3-xin1-lang2,n
軸流,4,zhou2-liu2,n
張首輔,11,zhang1-shou3-fu3,nr
找到啦,3,zhao3-dao4-la,nz
擇校熱,11,ze2-xiao4-re4,n
長青樹,2,zhang3-qing1-shu4,nr
政治體制,3,zheng4-zhi4-ti3-zhi4,n
鍾羽正,3,zhong1-yu3-zheng4,nr
祝君,3,zhu4-jun1,nr
租界,610,zu1-jie4,n
總數,2565,zong3-shu4,n
再配,3,zai4-pei4,v
濁聲,3,zhuo2-sheng1,n
重灌,3,zhong4-guan4,v
振鏡,2,zhen4-jing4,nz
朱成虎,3,zhu1-cheng2-hu3,nr
做成花環,3,zuo4-cheng2-hua1-huan2,i
撞,3773,zhuang4,v
爭,27,zheng1,zg
紫癜,45,zi3-dian4,n
扎卡,3,zha1-ka3,nrt
指揮所,473,zhi3-hui1-suo3,n
轉化成,3,zhuan3-hua4-cheng2,l
質量標準,3,zhi4-liang4-biao1-zhun3,n
錐刀之利,3,zhui1-dao1-zhi1-li4,i
趙大娘,10,zhao4-da4-niang2,nr
周文重,3,zhou1-wen2-zhong4,nr
中欄,3,zhong1-lan2,ns
讚譽,200,zan4-yu4,n
政辦發,3,zheng4-ban4-fa1,j
窄門,3,zhai3-men2,d
智藏瘝在,3,zhi4-cang2-guan1-zai4,v
最後通諜,2,zui4-hou4-tong1-die2,n
章魚燒,3,zhang1-yu2-shao1,n
整形,187,zheng3-xing2,b
中期貸款,3,zhong1-qi1-dai4-kuan3,n
政界人士,3,zheng4-jie4-ren2-shi4,n
眾喣飄山,3,zhong4-xu4-piao1-shan1,l
轉託,3,zhuan3-tuo1,v
中群豪,7,zhong1-qun2-hao2,nr
赭石,15,zhe3-shi2,n
紫外線,291,zi3-wai4-xian4,n
正線,16,zheng4-xian4,n
重慶大學,44,zhong4-qing4-da4-xue2,nt
子王濟,2,zi-wang2-ji4,nr
張柏芝,3,zhang1-bai3-zhi1,nr
轉庫,3,zhuan3-ku4,n
中國男足,2,zhong1-guo2-nan2-zu2,nt
左右列,5,zuo3-you4-lie4,m
諸苗決,2,zhu1-miao2-jue2,nr
竹筍,73,zhu2-sun3,n
痔瘡膏,2,zhi4-chuang1-gao1,nz
莊嚴宣告,3,zhuang1-yan2-xuan1-gao4,nr
中國東方資產管理公司,5,zhong1-guo2-dong1-fang1-zi1-chan3-guan3-li3-gong1-si1,nt
自以為得計,7,zi4-yi3-wei4-de2-ji4,l
趙士禎,4,zhao4-shi4-zhen1,nr
珠光,32,zhu1-guang1,nz
張季子,4,zhang1-ji4-zi,nr
張海鵬,4,zhang1-hai3-peng2,nr
趙敏竟,3,zhao4-min3-jing4,nr
裝飾玻璃,3,zhuang1-shi4-bo1-li,n
酯類,3,zhi3-lei4,n
倬,18,zhuo1,g
展示架,3,zhan3-shi4-jia4,n
枕蓆,11,zhen3-xi2,n
綜核,3,zong1-he2,vn
詹詹炎炎,3,zhan1-zhan1-yan2-yan2,nr
質監局,19,zhi4-jian1-ju2,j
周世六,2,zhou1-shi4-liu4,t
準心,3,zhun3-xin1,v
姊兒,3,zi3-er2,n
足球比賽,3,zu2-qiu2-bi3-sai4,n
周達明,3,zhou1-da2-ming2,nr
正巧是,3,zheng4-qiao3-shi4,i
柱塞閥,3,zhu4-sai1-fa2,nz
質料,59,zhi4-liao4,n
擢髮難數,3,zhuo2-fa4-nan2-shu4,i
中下部,25,zhong1-xia4-bu4,f
查理二世,3,zha1-li3-er4-shi4,nr
總成交,3,zong3-cheng2-jiao1,n
真金,94,zhen1-jin1,n
專欄作家,3,zhuan1-lan2-zuo4-jia1,n
裝屄,3,zhuang1-bi1,vn
占卜,216,zhan1-bu3,v
指痕,3,zhi3-hen2,n
中流砥柱,343,zhong1-liu2-di3-zhu4,i
孜孜,3,zi1-zi1,l
真敢,3,zhen1-gan3,d
長膘,3,zhang3-biao1,v
招待室,3,zhao1-dai4-shi4,n
卓亦離,2,zhuo2-yi4-li2,nr
左右側,10,zuo3-you4-ce4,i
趑趄,2,zi1-ju1,v
張治國,3,zhang1-zhi4-guo2,ns
宗親,115,zong1-qin1,n
長生果,8,zhang3-sheng1-guo3,n
振劇,3,zhen4-ju4,v
展限,2,zhan3-xian4,v
折騰,777,zhe2-teng2,v
種尼格,6,zhong3-ni2-ge2,nr
左翼,640,zuo3-yi4,nr
駐點,4,zhu4-dian3,n
自貽伊咎,3,zi4-yi2-yi1-jiu4,nr
重武器,32,zhong4-wu3-qi4,n
主任科員,3,zhu3-ren4-ke1-yuan2,n
宗大為,2,zong1-da4-wei4,nr
仲華忒,2,zhong4-hua2-te4,nr
左輪,7,zuo3-lun2,m
朱溫降,3,zhu1-wen1-jiang4,nr
左性,2,zuo3-xing4,n
致於,3,zhi4-yu2,v
珍禽異獸,34,zhen1-qin2-yi4-shou4,i
整編,188,zheng3-bian1,v
莊幫主,27,zhuang1-bang1-zhu3,nr
粘劑,3,zhan1-ji4,n
驟減,31,zhou4-jian3,v
終焉之志,3,zhong1-yan1-zhi1-zhi4,nr
治兵振旅,3,zhi4-bing1-zhen4-lv3,nz
鍾儀奏楚,3,zhong1-yi2-zou4-chu3,nr
準軍事化,5,zhun3-jun1-shi4-hua4,n
字紙簍,11,zi4-zhi3-lou3,n
轉帳,3,zhuan3-zhang4,v
智尊寶,3,zhi4-zun1-bao3,nr
褶邊,2,zhe3-bian1,n
執文害意,3,zhi2-wen2-hai4-yi4,n
真真正正,3,zhen1-zhen1-zheng4-zheng4,nr
種莊田,4,zhong3-zhuang1-tian2,nr
中國人民政治協商會議,616,zhong1-guo2-ren2-min2-zheng4-zhi4-xie2-shang1-hui4-yi4,nt
指使人,3,zhi3-shi3-ren2,n
掌一掌,10,zhang3-yi1-zhang3,nr
中國機電產品進出口商會,4,zhong1-guo2-ji1-dian4-chan3-pin3-jin4-chu1-kou3-shang1-hui4,nt
爪哇海,24,zhao3-wa1-hai3,ns
這陣子,3,zhe4-zhen4-zi,l
中保,66,zhong1-bao3,j
自管自,3,zi4-guan3-zi4,j
矚託,3,zhu3-tuo1,v
振華路,3,zhen4-hua2-lu4,nz
櫛風釃雨,3,zhi4-feng1-shai1-yu3,vn
乍看之下,3,zha4-kan4-zhi1-xia4,l
珠寶展,3,zhu1-bao3-zhan3,nz
縱火罪,3,zong4-huo3-zui4,i
真相大白,51,zhen1-xiang4-da4-bai2,l
章漢夫,3,zhang1-han4-fu1,nr
中煤網,3,zhong1-mei2-wang3,nz
招商,595,zhao1-shang1,n
紫文可,25,zi3-wen2-ke3,nr
作家群,13,zuo4-jia1-qun2,n
轉角處,32,zhuan3-jiao3-chu4,n
左掌揮,11,zuo3-zhang3-hui1,nr
真才實學,73,zhen1-cai2-shi2-xue2,l
中國地質大學,541,zhong1-guo2-de-zhi4-da4-xue2,nt
抓工夫,3,zhua1-gong1-fu1,n
子太太,2,zi-tai4-tai4,nr
長髮,210,zhang3-fa4,nz
再遠,3,zai4-yuan3,d
張建良,6,zhang1-jian4-liang2,nr
汁,819,zhi1,ng
這種,40923,zhe4-zhong3,r
灶火,3,zao4-huo3,n
捉雙,3,zhuo1-shuang1,v
左券,5,zuo3-quan4,n
中國國際廣播電臺,13,zhong1-guo2-guo2-ji4-guang3-bo1-dian4-tai2,nt
職位,2478,zhi2-wei4,n
燭夜,3,zhu2-ye4,n
支出,1424,zhi1-chu1,v
租賃業,3,zu1-lin4-ye4,n
知情不報,3,zhi1-qing2-bu4-bao4,i
子產,3,zi-chan3,n
長鳴都尉,3,zhang3-ming2-du1-wei4,n
走為上策,14,zou3-wei4-shang4-ce4,i
祖皇帝,9,zu3-huang2-di4,nr
