chinese,frequency,pinyin,posseg
剿匪抗戰,3,jiao3-fei3-kang4-zhan4,nz
矩陣式,3,ju3-zhen4-shi4,n
精氨酸酶,3,jing1-an1-suan1-mei2,nz
記者節,4,ji4-zhe3-jie2,n
蔣廷錫,6,jiang3-ting2-xi1,nr
敬德奪,2,jing4-de2-duo2,nr
教務處,32,jiao4-wu4-chu4,n
艦長,164,jian4-zhang3,n
近幾日,3,jin4-ji3-ri4,l
交出去,3,jiao1-chu1-qu4,v
假正經,3,jia3-zheng4-jing1,b
犍,105,jian1,zg
景泰,88,jing3-tai4,nz
舊道德,3,jiu4-dao4-de2,ns
加賽一場,3,jia1-sai4-yi1-chang3,n
蔣,2,jiang3,zg
江原,8,jiang1-yuan2,ns
巨嘴鳥,3,ju4-zui3-niao3,nr
晉身之階,3,jin4-shen1-zhi1-jie1,nr
濟濟多士,3,ji4-ji4-duo1-shi4,ns
急茬兒,3,ji2-cha2-er2,n
江山易改,19,jiang1-shan1-yi4-gai3,nr
建和,25,jian4-he2,nz
雞場主,3,ji1-chang3-zhu3,n
拒拿回扣,3,ju4-na2-hui2-kou4,l
幾艘,36,ji3-sou1,m
卷積碼,3,juan3-ji1-ma3,n
基金淨值,3,ji1-jin1-jing4-zhi2,n
禁暴誅亂,3,jin4-bao4-zhu1-luan4,vn
雞冠子,7,ji1-guan4-zi,n
擊節歎賞,3,ji1-jie2-tan4-shang3,i
晉身階,3,jin4-shen1-jie1,nr
精良,238,jing1-liang2,a
鐫脾琢腎,3,juan1-pi2-zuo2-shen4,v
近畿,23,jin4-ji1,nz
間不容息,3,jian1-bu4-rong2-xi1,l
聚會時間,3,ju4-hui4-shi2-jian1,l
集居,12,ji2-ju1,v
晶格能,3,jing1-ge2-neng2,n
金家三,2,jin1-jia1-san1,nr
集思會,3,ji2-si1-hui4,n
幾十本,4,ji3-shi2-ben3,m
江青任,2,jiang1-qing1-ren4,nr
結構因子,3,jie2-gou4-yin1-zi,n
計算機犯罪,2,ji4-suan4-ji1-fan4-zui4,n
舉,6506,ju3,v
雞巴,45,ji1-ba1,n
舊電影,3,jiu4-dian4-ying3,n
價格便宜,4,jia4-ge2-pian2-yi2,n
見之不取,3,jian4-zhi1-bu4-qu3,l
叫罵聲,23,jiao4-ma4-sheng1,i
角背,3,jiao3-bei4,n
訐譙龍,3,jie2-qiao4-long2,v
舉手之勞,37,ju3-shou3-zhi1-lao2,i
荊人涉澭,3,jing1-ren2-she4-yong1,nr
進口品,8,jin4-kou3-pin3,n
箭在弦上,30,jian4-zai4-xian2-shang4,i
潔柔,3,jie2-rou2,a
靜力學,73,jing4-li4-xue2,l
鉀肥廠,7,jia3-fei2-chang3,n
結石病,3,jie2-shi2-bing4,n
緊急集合,3,jin3-ji2-ji2-he2,l
救困扶危,3,jiu4-kun4-fu2-wei1,i
駕肩接跡,3,jia4-jian1-jie1-ji1,i
幾微米,5,ji3-wei1-mi3,m
機械工業,3,ji1-xie4-gong1-ye4,n
幾盤,25,ji3-pan2,m
軍臨城下,3,jun1-lin2-cheng2-xia4,i
尖子,81,jian1-zi,n
將旗,3,jiang1-qi2,n
救濟災民,3,jiu4-ji4-zai1-min2,l
江湖救急,3,jiang1-hu2-jiu4-ji2,i
居委,3,ju1-wei3,n
攫取財富,3,jue2-qu3-cai2-fu4,nz
絕代美女,3,jue2-dai4-mei3-nv3,l
金明,2,jin1-ming2,nr
計算器,141,ji4-suan4-qi4,n
幾勺,3,ji3-shao2,m
絞上,3,jiao3-shang4,n
酒味,46,jiu3-wei4,n
計時反應,3,ji4-shi2-fan3-ying1,l
假摔,3,jia3-shuai1,n
巨資,153,ju4-zi1,n
加太尉,2,jia1-tai4-wei4,nr
幾句,3737,ji3-ju4,m
監理人,3,jian1-li3-ren2,n
蔣光慈,3,jiang3-guang1-ci2,nr
晶粒,50,jing1-li4,n
禁足處分,3,jin4-zu2-chu4-fen1,n
金江街,3,jin1-jiang1-jie1,ns
鞠,113,ju1,nr
捐贈者,12,juan1-zeng4-zhe3,n
舉重選手,3,ju3-zhong4-xuan3-shou3,l
兼任,1004,jian1-ren4,v
軍品店,3,jun1-pin3-dian4,n
迥不猶人,3,jiong3-bu4-you2-ren2,i
焦爐煤氣,3,jiao1-lu2-mei2-qi4,n
居心叵測,37,ju1-xin1-po3-ce4,i
加蒂諾,2,jia1-di4-nuo4,nr
幾日,702,ji3-ri4,m
糾正,1509,jiu1-zheng4,v
金風送爽,3,jin1-feng1-song4-shuang3,i
僵化,264,jiang1-hua4,v
加積作用,3,jia1-ji1-zuo4-yong4,n
景延廣,3,jing3-yan2-guang3,nr
架環,3,jia4-huan2,vn
見機而作,10,jian4-ji1-er2-zuo4,l
簡筆,8,jian3-bi3,v
頸,1891,jing3,ng
儉可養廉,3,jian3-ke3-yang3-lian2,v
倦鳥歸巢,3,juan4-niao3-gui1-chao2,n
金臺區,3,jin1-tai2-qu1,ns
繳稅單,3,jiao3-shui4-dan1,n
九轉功成,3,jiu3-zhuan3-gong1-cheng2,i
就日瞻雲,3,jiu4-ri4-zhan1-yun2,i
疚,43,jiu4,g
及時發現,3,ji2-shi2-fa1-xian4,i
基本演員,3,ji1-ben3-yan3-yuan2,n
借方餘額,3,jie4-fang1-yu2-e2,n
九年制,33,jiu3-nian2-zhi4,n
謹於此,3,jin3-yu2-ci3,i
機友,3,ji1-you3,n
睫毛膏,11,jie2-mao2-gao1,n
酒樓,484,jiu3-lou2,n
吉安地區,5,ji2-an1-di4-qu1,ns
見,58965,jian4,v
就醫難,3,jiu4-yi1-nan2,l
架滿,3,jia4-man3,v
居常土,3,ju1-chang2-tu3,n
計合謀從,3,ji4-he2-mou2-cong2,n
倨,44,ju4,ag
加尾,3,jia1-wei3,nrt
結婚網,3,jie2-hun1-wang3,n
江中沙,2,jiang1-zhong1-sha1,ns
矜功負氣,3,jin1-gong1-fu4-qi4,z
驚歎不已,3,jing1-tan4-bu4-yi3,i
金文歷,2,jin1-wen2-li4,nr
久,7645,jiu3,a
激進分子,3,ji1-jin4-fen4-zi3,n
紀檢,150,ji4-jian3,j
巨聲震,2,ju4-sheng1-zhen4,nr
緝私警察,4,ji1-si1-jing3-cha2,n
金城湯地,3,jin1-cheng2-tang1-de,ns
警嫂,3,jing3-sao3,n
機械拋光,3,ji1-xie4-pao1-guang1,z
軍官學校,3,jun1-guan1-xue2-xiao4,n
金風寨,7,jin1-feng1-zhai4,nr
驚才風逸,3,jing1-cai2-feng1-yi4,i
桀貪驁詐,3,jie2-tan1-ao4-zha4,i
加權指數,3,jia1-quan2-zhi3-shu4,n
技術理性,3,ji4-shu4-li3-xing4,n
舊貌,17,jiu4-mao4,n
解衣卸甲,3,jie3-yi1-xie4-jia3,nr
進化速率,3,jin4-hua4-su4-lv4,n
淨化劑,4,jing4-hua4-ji4,n
酒翁,3,jiu3-weng1,n
假錢,3,jia3-qian2,n
拘牽,3,ju1-qian1,v
加開班次,3,jia1-kai1-ban1-ci4,ns
鉅作,17,ju4-zuo4,n
聚餐會,3,ju4-can1-hui4,n
紀年,281,ji4-nian2,n
基本國情,3,ji1-ben3-guo2-qing2,n
較為,2350,jiao4-wei4,d
禁賭,14,jin4-du3,v
頰車,3,jia2-che1,n
交工,2,jiao1-gong1,n
均價,3,jun1-jia4,n
榘,302,ju3,zg
技工學校,3,ji4-gong1-xue2-xiao4,n
腳痛醫腳,11,jiao3-tong4-yi1-jiao3,i
