chinese,frequency,pinyin,posseg
板塊,1274,ban3-kuai4,n
補下來,3,bu3-xia4-lai2,v
保障局,36,bao3-zhang4-ju2,n
八五計劃,3,ba1-wu3-ji4-hua4,n
包業,2,bao1-ye4,n
報備,3,bao4-bei4,v
布智兒,2,bu4-zhi4-er2,nr
八會穴,3,ba1-hui4-xue2,n
比肩迭跡,3,bi3-jian1-die2-ji1,l
抱成,3,bao4-cheng2,v
邊旁,3,bian1-pang2,s
庳,5,bi4,g
變換位置,3,bian4-huan4-wei4-zhi4,n
冰鞋,7,bing1-xie2,n
辨認,399,bian4-ren4,v
邊垂淚,3,bian1-chui2-lei4,n
報道失時,3,bao4-dao4-shi1-shi2,i
北寧市,3,bei3-ning2-shi4,ns
必然性,197,bi4-ran2-xing4,l
白厲厲,4,bai2-li4-li4,nr
碧,1402,bi4,nr
布裙荊釵,3,bu4-qun2-jing1-chai1,nr
壩王嶺,9,ba4-wang2-ling3,ns
北越,3,bei3-yue4,ns
補拙,3,bu3-zhuo1,v
變聲期,4,bian4-sheng1-qi1,n
變著法,19,bian4-zhe-fa3,l
百折不移,3,bai3-zhe2-bu4-yi2,i
報國,226,bao4-guo2,n
扁圓,21,bian3-yuan2,n
飽和電流,3,bao3-he2-dian4-liu2,n
保存,3073,bao3-cun2,v
八五,370,ba1-wu3,m
伯爾尼,86,bo2-er3-ni2,nr
北雙雄,7,bei3-shuang1-xiong2,nr
博季諾,4,bo2-ji4-nuo4,nr
敗軍,79,bai4-jun1,n
波形板,3,bo1-xing2-ban3,n
苯丙酮,11,ben3-bing3-tong2,nz
表現值,3,biao3-xian4-zhi2,n
俾資挹注,3,bi3-zi1-yi4-zhu4,vn
包兄,11,bao1-xiong1,n
伯顏,104,bo2-yan2,nr
波斯尼亞,90,bo1-si1-ni2-ya4,ns
不吉之兆,3,bu4-ji2-zhi1-zhao4,i
兵貴先聲,3,bing1-gui4-xian1-sheng1,i
俾斯麥群島,11,bi3-si1-mai4-qun2-dao3,ns
不知所云,90,bu4-zhi1-suo3-yun2,i
八竿子打不著,9,ba1-gan1-zi-da3-bu4-zhe,l
半日路,2,ban4-ri4-lu4,m
白蘭,26,bai2-lan2,nr
北京電臺,2,bei3-jing1-dian4-tai2,nt
巴斯滕,5,ba1-si1-teng2,nr
伴同,22,ban4-tong2,v
佈雷西亞,5,bu4-lei2-xi1-ya4,nrt
蛃,5,bing3,zg
痺證,10,bi4-zheng4,n
貝伊,6,bei4-yi1,nrt
薄酒,15,bo2-jiu3,n
部隊,12400,bu4-dui4,n
寶鋼集團,4,bao3-gang1-ji2-tuan2,nt
版圖,683,ban3-tu2,n
不語,913,bu4-yu3,n
八百文,4,ba1-bai3-wen2,m
八仙,141,ba1-xian1,n
貝錦萎菲,3,bei4-jin3-wei1-fei1,n
抱著書,3,bao4-zhe-shu1,l
標誌服,3,biao1-zhi4-fu2,n
百二山河,3,bai3-er4-shan1-he2,nz
辯護書,3,bian4-hu4-shu1,n
逼回,3,bi1-hui2,v
敗家女,3,bai4-jia1-nv3,n
邊全緣,3,bian1-quan2-yuan2,n
俵,9,biao4,zg
八方風雨,3,ba1-fang1-feng1-yu3,l
炳發,20,bing3-fa1,ns
病體違和,3,bing4-ti3-wei2-he2,i
別妻離子,3,bie2-qi1-li2-zi,n
被害,157,bei4-hai4,v
不好辦,3,bu4-hao3-ban4,i
貝克斯,2,bei4-ke4-si1,nr
冰櫃,14,bing1-gui4,n
便名,3,bian4-ming2,a
別拿洋,2,bie2-na2-yang2,nz
逼肖,3,bi1-xiao4,l
表皮層,3,biao3-pi2-ceng2,n
阪田,3,ban3-tian2,ns
揹筐,3,bei1-kuang1,n
卜德庫,3,bo-de2-ku4,nr
卜筮官,3,bu3-shi4-guan1,v
寶玉石,3,bao3-yu4-shi2,nr
玻爾磁子,3,bo1-er3-ci2-zi,n
百分之四點,20,bai3-fen1-zhi1-si4-dian3,m
丙稀,3,bing3-xi1,nz
阪本龍一,3,ban3-ben3-long2-yi1,ns
別構作用,3,bie2-gou4-zuo4-yong4,n
巴巴,27,ba1-ba1,ns
必死之心,3,bi4-si3-zhi1-xin1,i
不前不後,3,bu4-qian2-bu4-hou4,l
北醫大,2,bei3-yi1-da4,nt
餅乾店,3,bing3-qian2-dian4,v
步兵排,3,bu4-bing1-pai2,n
彬縣,14,bin1-xian4,ns
檳榔,166,bin1-lang2,n
播音王,3,bo1-yin1-wang2,n
標準鍾,3,biao1-zhun3-zhong1,n
百二十千,2,bai3-er4-shi2-qian1,m
