chinese,frequency,pinyin,posseg
徐錫麒,3,xu2-xi1-qi2,nr
西面,399,xi1-mian4,f
許叔微,2,xu3-shu1-wei1,nr
修鞋攤,3,xiu1-xie2-tan1,n
行業,8127,xing2-ye4,n
敘事學,2,xu4-shi4-xue2,nt
嚇阻力量,3,xia4-zu3-li4-liang4,v
學籍,101,xue2-ji2,n
幸運之神,3,xing4-yun4-zhi1-shen2,i
獻詩,3,xian4-shi1,v
蕭勁光,4,xiao1-jin4-guang1,nr
虛無,129,xu1-wu2,v
小董,21,xiao3-dong3,n
虛玄,4,xu1-xuan2,n
希少,3,xi1-shao3,v
徐思華,6,xu2-si1-hua2,nr
香壇,3,xiang1-tan2,n
休兵,27,xiu1-bing1,v
蕭峰越,2,xiao1-feng1-yue4,nr
徐涇鎮,3,xu2-jing1-zhen4,ns
相州,4,xiang1-zhou1,ns
鑲嵌圖,3,xiang1-qian4-tu2,n
修院聖,5,xiu1-yuan4-sheng4,nr
血染沙場,3,xue4-ran3-sha1-chang3,n
犧,37,xi1,v
象鼻蟲,2,xiang4-bi2-chong2,n
相品,2,xiang1-pin3,n
西引荊,2,xi1-yin3-jing1,nr
小屈大伸,3,xiao3-qu1-da4-shen1,i
行密子,2,xing2-mi4-zi,n
洗澡,414,xi3-zao3,v
下拉箭頭,3,xia4-la1-jian4-tou2,n
心焦如焚,7,xin1-jiao1-ru2-fen2,i
信大義,2,xin4-da4-yi4,nr
惺惺作態,8,xing1-xing1-zuo4-tai4,l
薛公子,5,xue1-gong1-zi,nr
西里西亞,101,xi1-li3-xi1-ya4,ns
絃聲,3,xian2-sheng1,z
希夏邦瑪,3,xi1-xia4-bang1-ma3,nrt
新聞自由,3,xin1-wen2-zi4-you2,n
校樣,24,xiao4-yang4,n
洗腳,3,xi3-jiao3,v
幸福觀,3,xing4-fu2-guan1,nr
線性網絡,3,xian4-xing4-wang3-luo4,n
閒鷗野鷺,3,xian2-ou1-ye3-lu4,nz
襄城區,768,xiang1-cheng2-qu1,ns
矽岩,3,xi4-yan2,nz
徐寧教,3,xu2-ning2-jiao4,nr
希臘共產黨,10,xi1-la4-gong4-chan3-dang3,nt
薛蟠自,2,xue1-pan2-zi4,nr
新紐澤西,3,xin1-niu3-ze2-xi1,nr
心安,62,xin1-an1,n
曉事,3,xiao3-shi4,v
西斯廷,12,xi1-si1-ting2,ns
學前,25,xue2-qian2,v
西爾斯,7,xi1-er3-si1,nr
小孤山,3,xiao3-gu1-shan1,nr
小石城,9,xiao3-shi2-cheng2,nr
鮮繭,3,xian1-jian3,n
惜力,3,xi1-li4,nr
新西蘭,647,xin1-xi1-lan2,ns
鹹酥雞,2,xian2-su1-ji1,nr
性地,3,xing4-di4,n
鋅鐵礦,3,xin1-tie3-kuang4,nz
旋磁器件,3,xuan2-ci2-qi4-jian4,n
