chinese,frequency,pinyin,posseg
笸,54,po3,zg
潘璋部,2,pan1-zhang1-bu4,nr
彭其劫,2,peng2-qi2-jie2,nr
炮座,9,pao4-zuo4,n
噴孔,3,pen1-kong3,n
蹣跚行走,3,pan2-shan1-xing2-zou3,vn
普定縣,3,pu3-ding4-xian4,ns
排平,3,pai2-ping2,n
跑馬場,5,pao3-ma3-chang3,n
排浪,4,pai2-lang4,nz
噴鍍,3,pen1-du4,v
疲敝,9,pi2-bi4,a
平面磨床,3,ping2-mian4-mo2-chuang2,nz
盼望著,3,pan4-wang4-zhe,n
龐士元,9,pang2-shi4-yuan2,nr
陪酒,38,pei2-jiu3,v
牌匾,43,pai2-bian3,n
潑皮,93,po1-pi2,n
霹靂,320,pi1-li4,n
剖示,2,pou1-shi4,v
叛兵,6,pan4-bing1,n
平衡感,4,ping2-heng2-gan3,n
皮黃,4,pi2-huang2,nr
破壞,4991,po4-huai4,v
平移,61,ping2-yi2,v
破軍殺將,2,po4-jun1-sha1-jiang1,i
平方海里,2,ping2-fang1-hai3-li3,q
破獲案件,3,po4-huo4-an4-jian4,n
平陽侯,7,ping2-yang2-hou2,nr
判令,13,pan4-ling4,v
彭紹榮,6,peng2-shao4-rong2,nr
平權主義,3,ping2-quan2-zhu3-yi4,n
樸柱奉,3,pu3-zhu4-feng4,nr
皮層,232,pi2-ceng2,n
排煙豎井,3,pai2-yan1-shu4-jing3,i
評語,141,ping2-yu3,nz
泡起來,3,pao4-qi3-lai2,l
鄱陽,3,po2-yang2,ns
朴硝,3,po4-xiao1,n
盤管,2,pan2-guan3,n
配出,3,pei4-chu1,v
評議委員,3,ping2-yi4-wei3-yuan2,n
徘徊,597,pai2-huai2,v
拋丸,2,pao1-wan2,n
片假名,8,pian4-jia3-ming2,i
縹,45,piao3,a
匍匐運動,3,pu2-fu2-yun4-dong4,n
炮聲,794,pao4-sheng1,n
哌替啶,4,pai4-ti4-ding4,nz
棚內,11,peng2-nei4,s
盤龍臥虎,3,pan2-long2-wo4-hu3,i
皮由茲,2,pi2-you2-zi1,nr
平頭,89,ping2-tou2,n
偏癱,33,pian1-tan1,n
平移門,3,ping2-yi2-men2,nr
迫不急待,3,po4-bu4-ji2-dai4,i
噴射客機,3,pen1-she4-ke4-ji1,n
匹夫懷璧,3,pi3-fu1-huai2-bi4,i
盤繞著,3,pan2-rao4-zhe,n
普蘭德,3,pu3-lan2-de2,nr
平泉縣,4,ping2-quan2-xian4,ns
配搭,11,pei4-da1,v
胖仔,3,pang4-zai3,n
裴度自,2,pei2-du4-zi4,nr
泡飯,23,pao4-fan4,n
碰釘,3,peng4-ding1,n
品相,3,pin3-xiang1,n
炮彈,1909,pao4-dan4,n
帕德灣,2,pa4-de2-wan1,nr
漂行,3,piao4-xing2,v
偏上去,3,pian1-shang3-qu4,v
普里斯萊,3,pu3-li3-si1-lai2,nrt
偏倚,3,pian1-yi3,v
平措次登,2,ping2-cuo4-ci4-deng1,nr
普渡大學,3,pu3-du4-da4-xue2,nz
嶏,175,pei4,zg
龐各莊,7,pang2-ge4-zhuang1,nr
披瀝肝膽,3,pi1-li4-gan1-dan3,i
平光鏡,3,ping2-guang1-jing4,nr
平面媒體,3,ping2-mian4-mei2-ti3,n
拍紙簿,3,pai1-zhi3-bu4,n
品評,117,pin3-ping2,n
偏私,93,pian1-si1,n
普通群眾,3,pu3-tong1-qun2-zhong4,i
頻偏,3,pin2-pian1,d
疲累不堪,3,pi2-lei4-bu4-kan1,l
盆景園,4,pen2-jing3-yuan2,n
貧困人家,3,pin2-kun4-ren2-jia1,n
浦文英,5,pu3-wen2-ying1,nr
普世合,2,pu3-shi4-he2,nr
排版系統,3,pai2-ban3-xi4-tong3,n
龐將軍,2,pang2-jiang1-jun1,nr
偏北風,8,pian1-bei3-feng1,n
排汗作用,3,pai2-han4-zuo4-yong4,l
皮嘴皮臉,3,pi2-zui3-pi2-lian3,l
品牌服裝,3,pin3-pai2-fu2-zhuang1,n
配戴,35,pei4-dai4,v
普藥化,2,pu3-yao4-hua4,nz
判處刑罰,3,pan4-chu4-xing2-fa2,i
漂海,3,piao1-hai3,v
苤藍,3,pie3-lan2,n
平均獎,3,ping2-jun1-jiang3,nz
拍賣成交,3,pai1-mai4-cheng2-jiao1,i
坡向,3,po1-xiang4,n
排擠掉,3,pai2-ji3-diao4,i
烹調法,11,peng1-diao4-fa3,n
破隙,3,po4-xi4,n
拋光液,3,pao1-guang1-ye4,n
烹煮法,3,peng1-zhu3-fa3,nz
盤石桑苞,3,pan2-shi2-sang1-bao1,nr
噴,9,pen1,zg
普渡村,4,pu3-du4-cun1,nr
平等性,6,ping2-deng3-xing4,n
普沃斯,3,pu3-wo4-si1,nr
簲,182,pai2,zg
皮特什蒂市,3,pi2-te4-shen2-di4-shi4,nrt
爬山,117,pa2-shan1,n
拍擊,87,pai1-ji1,v
瞥閃,3,pie1-shan3,v
平輿,4,ping2-yu2,n
賠錢貨,4,pei2-qian2-huo4,n
萍鋼,2,ping2-gang1,n
帕諾夫斯,2,pa4-nuo4-fu1-si1,nrt
排氣量,2,pai2-qi4-liang4,n
旁心,3,pang2-xin1,n
偏心輪,3,pian1-xin1-lun2,n
拋光劑,8,pao1-guang1-ji4,n
貔貅,10,pi2-xiu1,n
葡田,3,pu2-tian2,ns
潘師正,4,pan1-shi1-zheng4,nr
平平白白,3,ping2-ping2-bai2-bai2,z
品簫,3,pin3-xiao1,n
披著,3,pi1-zhe,v
漂浮,307,piao1-fu2,v
噴氣快艇,3,pen1-qi4-kuai4-ting3,n
票樣,3,piao4-yang4,n
普通住宅,3,pu3-tong1-zhu4-zhai2,n
偏寬,3,pian1-kuan1,v
彭定求,3,peng2-ding4-qiu2,nr
普及讀物,3,pu3-ji2-du2-wu4,nz
浦志強,6,pu3-zhi4-qiang2,nr
皮爾洛,14,pi2-er3-luo4,nr
品竹調絲,3,pin3-zhu2-diao4-si1,n
拼過去,3,pin1-guo4-qu4,l
評估費,4,ping2-gu1-fei4,n
轡頭,47,pei4-tou2,n
跑壘,24,pao3-lei3,n
評,1313,ping2,v
脯氨,3,pu2-an1,n
帕特雷塞,4,pa4-te4-lei2-sai1,nrt
頗佳,3,po1-jia1,v
嫖娼,74,piao2-chang1,v
平山,80,ping2-shan1,ns
品讀,9,pin3-du2,v
披蓋,6,pi1-gai4,v
皮斯卡,5,pi2-si1-ka3,nr
咆哮如雷,14,pao2-xiao1-ru2-lei2,l
批驗,3,pi1-yan4,vn
平方碼,3,ping2-fang1-ma3,n
票價表,3,piao4-jia4-biao3,n
爬蟲,42,pa2-chong2,n
飄紅,13,piao1-hong2,z
普遍真理,3,pu3-bian4-zhen1-li3,i
